file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,fr_per_current_mean,fr_per_current_sem,inj_current,n_epochs_per_current,stim_time_s,cell_name,cell_type,cc_quality,extra_mp,orientation,feeding_condition,cell_number,x,y,quadrant
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-300,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-224,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-167,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-125,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-93,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-70,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-52,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-39,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0.666666666666667,0.816496580927726,-29,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-22,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-16,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-12,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-9,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-7,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,-5,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,1.33333333333333,0.816496580927726,5,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,1.33333333333333,0.816496580927726,7,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,1.33333333333333,0.816496580927726,9,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,2,0,12,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,0,0,16,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,2,1.41421356237309,22,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,4,1.41421356237309,29,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,6,0,39,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,6.66666666666667,1.63299316185545,52,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,8.66666666666667,2.16024689946929,70,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,13.3333333333333,0.816496580927726,93,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,17.3333333333333,2.16024689946929,125,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,24,1.41421356237309,167,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,22,2.44948974278318,224,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,1,MultiPulse_Whole_cell_Voltage_clamp,6,10975,1,4273,Left,22.6666666666667,0.816496580927726,300,3,0.5,012926Ac12,OFF transient alpha,high,F,ventral down,chow,12,-1764,-664,VT
012926A,2,MultiPulse_Whole_cell_Voltage_clamp,15,10984,1,4273,Left,0,0,-300,3,0.5,012926Ac6,OFF sustained alpha,high,F,ventral down,chow,6,862,11,DN
