file_name,dataset_name,source_id,cell_unid,animal_id,side,depol_overshoot_max,pre_time_ms,sag_amplitude,stim_time_ms,vrest,cell_name,cell_type,feeding_condition,x,y,quadrant,capacitance_mean,current_max_number_of_spike_max,depol_overshoot_mean,first_ap_peak_amplitude_mean,first_ap_trough_amplitude_mean,first_current_level_to_block_mean,half_max_spike_current_mean,half_max_spike_number_mean,half_width_time_mean,isi_cv_at_max_spikes_mean,max_adaptation_index_max,max_ahp_after_depol_injection_max,max_isi_cv_max,max_latency_of_spike_max,max_number_of_spike_max,max_slope_max,resistance_mean,resting_vm_mean,sag_mean,spontaneous_firing_rate_mean,tau_mean,v_threshold_mean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012926A,MultiPulse_Whole_cell_Voltage_clamp,6,10975,4273,Left,52.9083,500,5.5871,500,-50.7193,012926Ac12,OFF transient alpha,chow,-1764,-664,VT,6759.05749394789,167.147,48.0854822307221,2.77045497577132,-51.8606757833952,7.3409,84.6113955555555,6.2,0.386666666666667,2.13553425860116,0.775774246128769,-8.13976245418786,2.13553425860116,377.18,13,261.643244229892,54.2816669449533,-50.7193178212799,NaN,0.8,3533.45534888235,-51.9787508631607
012926A,MultiPulse_Whole_cell_Voltage_clamp,15,10984,4273,Left,45.1476,500,2.8016,500,-42.9583,012926Ac6,OFF sustained alpha,chow,862,11,DN,11042.9318348272,69.5132,35.6124677726358,2.58260861794703,-47.3630894537854,71.7213666666667,16.2524362222222,11.7222222222222,0.753333333333333,0.251618615321296,0.193262411347518,-3.54057284252981,1.47373438909105,69.02,22,156.180884848992,112.15419545189,-42.9583071733243,NaN,12.8888888888889,12354.6360618757,-39.6023408658546
012926A,MultiPulse_Whole_cell_Voltage_clamp_incomplete,4,10977,4273,Left,50.2838,500,13.5089,500,-48.5721,012926Ac14,OFF vertical OS - asymmetric,chow,-1742,-619,VT,3265.60980706465,69.5132,38.5954679719507,5.68743969936689,-51.9062957452025,81.32035,23.281962,20.75,0.69,0.223585558603347,0.0875393544491865,-5.26521981918592,0.578440862430978,58.26,41,181.942677194588,150.600885222158,-48.5721316501023,NaN,15,4963.91508323818,-49.9097537040378
012926B,MultiPulse_Whole_cell_CC,3,11003,4273,Right,61.6942,500,4.92909,500,-44.379,012926Bc2,ON vertical OS large RF,chow,-571,346,DN,19268.7419019156,300,53.0838726386345,14.5774917013867,-50.3705708632108,766,89.6169096825397,21.5111111111111,0.446666666666667,0.301275143267254,0.156144215308447,-7.47190762382893,2.37473666327536,108.4,40,312.498117901695,54.8627541252593,-44.3789968235131,NaN,17.3777777777778,11088.0729516013,-44.8830608798017
012926B,MultiPulse_Whole_cell_CC,5,11006,4273,Right,54.7033,500,14.0141,500,-51.2096,012926Bc5,ON OS large RF - orientation unknown,chow,-502,380,DN,12.4107477786705,300,23.1828499949832,3.79576933995146,-51.6592229301148,999,109.7366625,36.5,0,0.0662122810199965,0.0592946466207672,-6.70168026703207,0.316335631569921,380.46,74,14.4973357974052,119.461278314112,-51.209618607883,NaN,0,14.838969181849,-51.2833660770382
012926B,MultiPulse_Whole_cell_CC,6,11002,4273,Right,55.1865,500,2.09406,500,-55.0433,012926Bc1,OFF transient alpha,chow,-565,354,DN,19878.0593061058,300,47.6479086740417,-0.703774055253078,-57.2433819330144,999,127.284127222222,15.7111111111111,0.3,0.67335223931819,0.614743834050199,-5.78133804285206,1.77759208623605,136.42,34,373.709083643105,58.6276973868689,-55.0433224775357,NaN,7.51111111111111,11812.1339759549,-51.4766639133352
012926B,MultiPulse_Whole_cell_CC,8,11007,4273,Right,63.7883,500,2.41622,500,-56.1044,012926Bc6,ON DS sustained - temporal,chow,-534,386,DN,4.21917663356456,93.1275,47.6028061729149,14.1801573142275,-56.2446765692398,11.6093833333333,41.8389,9,0,0.237814303565041,0.373686045932347,-6.31847529423806,1.65344709413438,216.32,19,16.1081511623347,211.011853737158,-56.1044152939324,NaN,0,8.72514295854166,-56.1802439634376
012926B,MultiPulse_Whole_cell_CC_-500_500,2,11008,4273,Right,41.9778,500,7.18424,500,-59.4814,012926Bc7,ON alpha,chow,-370,405,DN,111.255256367401,500,10.8031994844019,-1.85282212089895,-59.6273883092736,457.253333333333,357.955433333333,18,0,0.351776577849797,0.335176660360464,-5.54257681231874,0.64850248254967,28.86,38,12.8865210029147,57.5009094648806,-59.4813546023955,NaN,0,68.1955892956265,-58.8756745848743
020526A,MultiPulse_Whole_cell_Voltage_clamp,8,11046,4274,Left,55.3879,500,14.169,500,-59.1077,020526Ac8,ON transient EW6t,chow,2138,-1549,VN,22.2705081643159,124.764,41.8886714794884,3.59804244053124,-50.6627360736844,186.074333333333,32.9646853703704,15.3666666666667,1.15333333333333,0.266013559348378,0.199113298644473,5.18296211427588,0.399641559304811,117.36,32,117.538173752935,226.529381603909,-59.1077425408211,NaN,0.133333333333333,50.5357921252868,-55.8687682567131
