file_name,dataset_name,source_id,cell_unid,animal_id,file_name_1,depol_overshoot_max,pre_time_ms,sag_amplitude,stim_time_ms,vrest,cell_name,cell_type,file_name_2,file_name_3,file_name_4,file_name_5,capacitance_mean,current_max_number_of_spike_max,depol_overshoot_mean,first_ap_peak_amplitude_mean,first_ap_trough_amplitude_mean,first_current_level_to_block_mean,half_max_spike_current_mean,half_max_spike_number_mean,half_width_time_mean,isi_cv_at_max_spikes_mean,max_adaptation_index_max,max_ahp_after_depol_injection_max,max_isi_cv_max,max_latency_of_spike_max,max_number_of_spike_max,max_slope_max,resistance_mean,resting_vm_mean,sag_mean,spontaneous_firing_rate_mean,tau_mean,v_threshold_mean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080222A,MultiPulse,2,158,2036,080222A,43.2315,500,10.3047,500,-42.611,080222Ac5,OFF sustained alpha,080222A,080222A,080222A,080222A,1480.79426417611,300,38.9035384182144,-2.36472695503704,-46.9938365754177,999,93.4433222950089,68.82,0.544,0.176562103068104,0.0111528332912655,-8.34401027629114,0.928774187850518,7.2,100,173.087089256923,86.9233798515442,-42.6109788933578,NaN,88.88,1215.37899404935,-36.7245300736878
080222A,MultiPulse,6,162,2036,080222A,58.431,500,5.02356,500,-53.6138,080222Ac6,ON alpha,080222A,080222A,080222A,080222A,32.9088840654499,500,37.8376309796866,10.7705598885275,-56.2841978188977,999,174.318697368421,59.7,0.452,0.130416115312415,0.0364459389302182,-11.5560432465266,1.53915510862935,37.44,116,348.58937076985,80.0236851131429,-53.6137782117858,NaN,24.4,26.1322539756935,-53.4085337692381
081222A,MultiPulse,3,176,2038,081222A,35.4869,500,2.93041,500,-59.394,081222Ac2,ON alpha,081222A,081222A,081222A,081222A,4.80603136851651,500,18.347228788818,0.594657943395057,-59.3949397023569,999,403.768608421053,18.6,0,0.385044166622752,0.4086880164592,-3.491816285504,1.1951651922364,6,39,23.3466681857504,59.6419395296837,-59.3940425263917,NaN,0,2.86469572991823,-58.9408872613259
080922A,MultiPulse,14,210,2039,080922A,42.9739,500,11.3352,500,-57.7012,080922Ac6,ON alpha,080922A,080922A,080922A,080922A,NaN,500,23.6939543840083,1.58970675108279,-58.5480192106389,999,321.746764411765,34.7,0,0.165764063203193,0.41929780615041,-6.26342145524258,1.08787867219224,16.38,71,21.736551451275,65.6060362959611,-57.7011584733022,NaN,0,NaN,-57.8427888495842
042622A,MultiPulse_CC,3,2170,1563,042622A,53.7778,500,5.05577,500,-58.1186,042622Ac2,ON alpha,042622A,042622A,042622A,042622A,53708.6853756745,1120,39.2223364571477,-3.0635153945193,-55.3599919852347,826.8924,552.340447604167,75.0083333333333,0.4,0.155193721675633,0.938926699993977,-13.2988556133876,3.04254329023557,131.24,151,297.06581607908,50.4373004613517,-58.1186228309588,NaN,3.63333333333333,27009.5457019562,-58.2871806096852
042622B,MultiPulse,2,2171,1563,042622B,37.0165,500,11.8234,500,-61.1011,042622Bc2,ON alpha,042622B,042622B,042622B,042622B,6.36892719645617,738.462,21.1620827748075,2.16562450162928,-61.519559154295,1015.3816,403.66071875,41,0,0.18659367974007,0.0943399972688025,-10.1176145727143,1.26681582533273,11.84,83,48.3244537725351,48.385374592659,-61.1011230277188,NaN,0,2.98576182602162,-60.5852863762142
081122A,MultiPulse,5,2228,1973,081122A,43.8595,500,4.84645,500,-51.813,081122Ac4,Motion sensor,081122A,081122A,081122A,081122A,7.08520826093672,136.364,32.3578872930603,1.41581470913437,-52.8804150414916,568.691,38.7461944097222,26.3166666666667,1.176,0.112590099238197,0.208888204797445,-3.12356006974765,2.84234886534833,23.06,51,149.740494071477,156.487561588561,-51.8130322255593,NaN,15.6666666666667,10.9966205861304,-46.7168975529463
121422A,MultiPulse,2,2730,2295,121422A,54.5828,500,7.92176,500,-55.5521,121422Ac29,ON alpha,121422A,121422A,121422A,121422A,5.7116159344169,300,42.2600686391394,7.37858364481683,-51.2166151448957,610.30908,167.17148576555,26.0833333333333,0.24,0.401978431571033,0.11163203810086,-6.48218874364849,1.20055749976009,83.12,53,312.361731972975,87.4235767931972,-55.5520760436096,NaN,0.333333333333333,5.05026714761178,-56.575071164981
121722A,MultiPulse,41,3075,2291,121722A,58.2056,500,12.3335,500,-55.3993,121722Ac39,ON-OFF DS - temporal,121722A,121722A,121722A,121722A,20.546646704141,200,50.8902860971285,8.27166786903993,-50.1528814568804,999,65.3696378977273,24.9166666666667,0.344,0.582799276625985,0.0453115490135323,-5.67564365642156,1.98651914139771,48.76,52,211.72982437476,117.352263921662,-55.3993426996385,NaN,1.66666666666667,24.1811852855896,-54.6837435106719
022420A,MultiPulse_IC_Control,2,3784,2347,022420A,74.2812,500,2.75,100,-61.1802,022420Ac1,Bursty suppressed by contrast,022420A,022420A,022420A,022420A,NaN,200,60.26171875,-0.9296875,-49.171875,999,56.8863856731504,10.40625,0.675,0.130650405987824,0.0837848850543352,-17.1068854166667,0.862103150601682,12,18,156.25,164.082335815674,-54.1973685677083,NaN,38.125,NaN,-35.375
041521A,MultiPulse,3,3898,77,041521A,NaN,500,3.39062,500,-46.2905,041521Ac2,Sustained suppressed-by-contrast no surround EW27,041521A,041521A,041521A,041521A,5.22501635028117,33.3333,NaN,-2.5125,-49.571875,66.6667,16.66665,8.21666666666667,1.06,1.00719946264275,0.535420808482439,-3.10621006944444,2.02370217546193,14,12,111.25,223.158660047131,-45.4492072222222,NaN,15.2666666666667,11.1593470620147,-49.59375
041521A,MultiPulse,5,3900,77,041521A,NaN,500,10.75,500,-49.3446,041521Ac5,ON horizontal OS small RF,041521A,041521A,041521A,041521A,11.6683151911236,133.333,NaN,10.609375,-50.575,999,39.6996885747036,26.4142857142857,0.58,0.470210549090052,0.159377361740958,-5.3491634375,2.05833549124685,28,50,245.9375,135.412671226699,-50.20190575,NaN,8.05714285714286,16.0559749829893,-50.953125
052319A,MultiPulse_IC_hold0,3,3943,149,052319A,35.7656,500,12.7969,1000,-36.1809,052319Ac2,OFF sustained alpha,052319A,052319A,052319A,052319A,11764.3844030381,25,19.2252604166667,-7.07421875,-40.56640625,793,12.4999999999999,33.75,1.08,1.11792265496664,0.72965536220155,-16.4516894117647,1.42947928441736,127.54,38,104.6875,108.9761267781,-36.1000370220588,NaN,36.75,11928.935635022,-34.55859375
081519A,MultiPulse_IC_hold0,4,4111,124,081519A,22.6562,500,15.3281,1000,-30.5938,081519Ac4,Bursty suppressed by contrast,081519A,081519A,081519A,081519A,18387.8031161948,10,20.5972222222222,-17.671875,-34.921875,250,5,16.5555555555556,28.24,0.63300719736709,0.794496121948592,-20.0002636931818,1.31489034581884,894.46,14,21.09375,145.91872575097,-30.4997363068182,NaN,19.1111111111111,26831.2480007486,-31.5625
092719A,MultiPulse_IC_hold0,2,4137,136,092719A,25.5938,500,8.64062,1000,-37.9534,092719Ac1,Bursty suppressed by contrast,092719A,092719A,092719A,092719A,5.797053607914,25,24.2098214285714,-9.265625,-43.90625,137.5,12.5,15.047619047619,1.50666666666667,1.26860808339854,0.800647692178988,-11.1918103472222,1.51158268896295,282.44,17,98.4375,69.5685061486432,-37.9534025925926,NaN,18.7619047619048,3.09423238093867,-37.9895833333333
100819A,MultiPulse_IC_hold0,2,4145,155,100819A,29.6719,500,16.1562,1000,-38.1554,100819Ac1,OFF sustained alpha,100819A,100819A,100819A,100819A,NaN,50,28.090625,-10.7552083333333,-41.03125,150,25,22.3,0.946666666666667,1.38992779277884,0.989059843961121,-15.382461640625,1.39874184532843,5.62,12,56.25,99.828163123475,-38.177205703125,NaN,36.2666666666667,NaN,-30.7552083333333
040821A,MultiPulse,2,4361,75,040821A,64.5469,500,5.42188,500,-60.8582,040821Ac5,OFF transient medium RF,040821A,040821A,040821A,040821A,15417.864132206,400,41.5598958333333,9.8,-56.60625,233.13332,196.213035905934,36.2,0.444,0.283010086268984,0.355605111930697,-1.91209370833332,1.32107759212807,268.42,74,293.75,125.376825194522,-60.74215435,NaN,0.4,18264.7067854099,-59.503125
040821A,MultiPulse,5,4364,75,040821A,46.9844,500,7.09375,500,-49.8279,040821Ac1,ON alpha,040821A,040821A,040821A,040821A,12668.4242141933,250,36.7299107142857,2.1859375,-50.540625,999,92.6824678062065,27.3428571428571,0.624,0.44707740561931,0.0666944519991193,-3.81190739583332,1.51699903300843,52.18,52,189.0625,109.914281415258,-49.7716240364583,NaN,12.5714285714286,13597.763682091,-51.1390625
050818A,MultiPulse_CC_dark,3,4633,147,050818A,45.9625,500,15.1625,500,-43.1743,050818Ac4,Bursty suppressed by contrast,050818A,050818A,050818A,050818A,110.783360963156,87.5,38.915625,-7.1725,-45.78375,999,24.3680294486216,30.05,0.72,1.34623198224834,0.169600006603053,-15.66162625,1.59965459742302,18.1,40,138.3125,89.5544115687056,-43.2003159166667,NaN,50.2,103.368306867928,-43.41875
051121A,MultiPulse_wholeCell,2,4681,872,051121A,74.0156,500,1.15625,500,-58.3526,051121Ac2,ON horizontal OS small RF,051121A,051121A,051121A,051121A,7.82096933058424,414.286,58.390625,14.546875,-63.93125,999,117.739293937255,49.05,0.564,0.106685600661048,0.0182604807734255,-5.72564687499999,0.330863994689653,24.18,95,292.96875,120.541358610759,-58.3209840769231,NaN,14.6,9.25044283450213,-59.003125
051121A,MultiPulse,5,4684,872,051121A,41.3906,500,12.4375,500,-56.6543,051121Ac4,HD1,051121A,051121A,051121A,051121A,12.7463524914076,128.571,24.9105113636364,-5.7625,-51.328125,149.999772,45.9887398712399,24.0545454545455,1.04,0.18067115169503,0.230727776219511,3.06801595833333,0.622775754843475,112,50,88.28125,235.257801729456,-56.52031695,NaN,1.41818181818182,25.6043152116394,-57.509375
051821A,MultiPulse,5,4877,873,051821A,30.6719,500,9.89062,500,-42.6817,051821Ac5,ON vertical OS large RF,051821A,051821A,051821A,051821A,17462.3428621745,250,23.71484375,-13.1380208333333,-44.2265625,999,80.4272785635747,41.375,0.816666666666667,0.362588549194148,0.0348020051234713,-11.4168384375,1.02885761246164,25.02,62,111.71875,99.6512673240052,-42.6817044986979,NaN,48.8333333333333,17304.9406448287,-45.2239583333333
051821A,MultiPulse,6,4878,873,051821A,49.2344,500,9.125,500,-48.4272,051821Ac6,ON delayed,051821A,051821A,051821A,051821A,12.9806546614735,100,31.8325892857143,4.25260416666667,-48.3619791666667,195.238166666667,31.3741291177137,16.0595238095238,0.983333333333333,0.30793367281787,0.236145938010772,-3.40525880208333,2.30297383647491,48.98,40,136.71875,172.615306087545,-47.8703981076389,NaN,6.57142857142857,22.9066793576791,-48.125
051821A,MultiPulse,7,4879,873,051821A,37.4062,500,9.71875,500,-47.5468,051821Ac3,ON vertical OS large RF,051821A,051821A,051821A,051821A,5.41620108003444,128.571,26.177734375,-10.278125,-48.4875,499.5998,68.0077504833334,35.4875,1,0.245481050341793,0.124260355029586,-8.95646026785715,1.53031330141635,11.62,54,97.65625,131.200733877497,-47.2621957678571,NaN,39.55,6.95374518152132,-46.303125
051821A,MultiPulse,8,4880,873,051821A,38.0469,500,8.73438,500,-55.912,051821Ac9,ON transient small RF,051821A,051821A,051821A,051821A,13.767333885487,344.444,25.0691964285714,-10.8489583333333,-55.7317708333333,461.111,107.805367212121,36,0,0.187457863084398,0.0984801557165101,-4.32728249999999,3.07614793910136,68.5,76,11.71875,143.253449666171,-55.9119915208333,NaN,0,19.6993149431168,-55.6770833333333
051821A,MultiPulse,9,4881,873,051821A,53.2188,500,10.6719,500,-60.1347,051821Ac8,ON transient small RF,051821A,051821A,051821A,051821A,8.55282586753895,500,36.6519886363636,2.515625,-59.5572916666667,999,139.293646223197,38.969696969697,0.08,0.193593012248192,0.236529594194102,-4.32846272321428,1.14149765519227,60.56,88,187.5,186.30745012002,-60.1347129315476,NaN,0.212121212121212,17.1776274664279,-62.546875
052918B,MultiPulse,3,4908,622,052918B,71.4969,500,2.02813,500,-54.3008,052918Bc3,PixON,052918B,052918B,052918B,052918B,12.24563888387,150,66.9075,8.31145833333333,-56.1625,353,77.8126984126984,14.8333333333333,0.466666666666667,0.63883044863121,0.108592363799095,-4.45045012500001,0.849612065324606,143.3,30,274.15625,89.6457653049893,-54.3366385625,NaN,2.66666666666667,10.9048680947053,-55.3020833333333
052918B,MultiPulse_CC_hold0,4,4909,622,052918B,66.9688,500,3.61562,500,-53.8987,052918Bc1,OFF sustained alpha,052918B,052918B,052918B,052918B,NaN,250,65.1075,7.803125,-52.8025,999,126.37380952381,27.4,0.46,0.441285966752388,0.119969136395861,-6.44594031250001,0.851464850560213,23.9,55,292.625,92.7290583766494,-53.892643515625,NaN,2.8,NaN,-55.08875
072721A,MultiPulse,2,5226,66,072721A,60.1562,500,8.17188,500,-57.7193,072721Ac3,Local edge detector,072721A,072721A,072721A,072721A,7.17002178613132,288.889,41.48046875,11.5625,-54.496875,999,64.6827230988456,21.15,0.516,0.23511197239739,0.164605307621707,-6.62085065789473,1.10236600283418,257.06,44,170.3125,317.005703275728,-57.6093759078948,NaN,0.2,22.7910215169747,-55.146875
