file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,feeding_condition,cell_number,x,y,quadrant
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,-2.9382247262344,3.41533451149709,-7.38994680173113,4.06454327932235,-536.856,-60,-533.389874387325,3,-72.2215017926487,6.18511160768968,-80.7229145674033,14.9635211799435,500,50000,30,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,-4.87662632268861,2.10277719517386,-13.7461725479942,2.90373442236292,-536.856,-60,-533.990983731308,3,-79.7044342083417,9.28316183646868,-95.9773434837177,30.7667185467865,500,50000,42,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,-7.811113222749,5.72754107024898,-11.1997177699995,9.47604839622265,-536.856,-60,-528.795677343792,3,-94.0954069812577,9.15824199136422,-120.716003181739,45.6531422604207,500,50000,59,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,-16.3295018170451,2.88730294124015,-27.705074971785,3.44348700640324,-536.856,-60,-529.353850509843,3,-97.9324658237064,5.57075931883423,-192.39264575312,18.9584302654169,500,50000,82,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,-15.3064878948679,2.60095445217723,-38.9905237520433,1.9951290752329,-536.856,-60,-538.112878872156,3,-115.244515586905,15.4075573849624,-275.569243512798,31.2829965783729,500,50000,115,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,-6.10229474394837,3.72639679845131,-49.1049892209228,6.2188828622693,-536.856,-60,-550.950867274985,3,-112.292975399092,12.390195615688,-427.876051312015,47.6040589195799,500,50000,160,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,13.7091898304073,7.42246204319891,-67.9338634920091,8.27403334332003,-536.856,-60,-540.002080987783,3,-119.916098671233,29.6859161388507,-467.315118616244,43.1598872386272,500,50000,224,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,47.0429222291088,2.25464348532005,-58.7190732497865,7.08453303141408,-536.856,-60,-532.574081312695,3,116.131526772895,4.88976248576577,-389.831525111194,68.3743280058215,500,50000,314,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,60.4319011900241,1.55970571340451,-44.3521586696787,1.56038329688834,-536.856,-60,-558.851167886459,3,166.515501914269,2.98671920430362,-421.542008855533,35.7405979884411,500,50000,439,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,53.0599132333495,0.695216658331287,-40.7457410657138,4.26029838240101,-536.856,-60,-527.851076065092,3,141.195604995116,7.30902316568671,-317.580179933453,25.6844569787685,500,50000,614,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,38.841058480498,1.19836125891832,-46.7921416753647,0.151405309233716,-536.856,-60,-545.240323938884,3,149.691580171337,14.0687149770136,-300.625695404727,21.0141368876855,500,50000,858,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,1,SpotsMultiSize_Whole_cell_Current_clamp_Exc,3,11042,1,4274,Left,36.6667070119828,4.30856266979172,-39.4651418906717,5.55193437142167,-536.856,-60,-548.160000969537,3,138.690547786722,4.45957445637955,-310.81096930174,44.6203369513043,500,50000,1200,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
020526A,2,SpotsMultiSize_Whole_cell_Current_clamp_Inh,3,11042,1,4274,Left,139.959484770328,12.3515945347599,-3.4380118294204,6.64581942086226,1116.66,20,1061.0478783624,3,707.023696951498,67.3948358975624,210.597577870871,35.0043608815058,500,50000,30,1000,1000,020526Ac4,OFF transient alpha,ventral down,chow,4,2238,-1587,VN
