file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,cell_number,x,y,quadrant
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,33.2914177679398,13.9371045943938,-33.9227333737775,9.23624314388805,-1887.63,-60,-1755.3252354284,3,161.119565986912,20.4120901650037,-186.343654238227,16.0430365520256,500,10000,30,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,70.1578198799275,9.11910984682003,-7.53713054824754,28.9558540190734,-1887.63,-60,-1966.78729942587,3,196.375656931392,21.0862518077177,-162.573191119341,26.6747807756424,500,10000,42,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,108.440946875907,4.77655115598347,-61.707172363766,5.61578868024612,-1887.63,-60,-1823.05753264096,3,254.114114173519,23.2440343724374,-243.841428177598,23.9682343561636,500,10000,59,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,162.235443990776,1.55680828655606,-46.678820533976,20.3573687351277,-1887.63,-60,-1911.07725511581,3,322.710007155617,9.04415452650214,-236.322646296434,42.1826651089866,500,10000,82,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,191.37332559128,19.0420723289931,-62.0869168082076,24.6346320733437,-1887.63,-60,-1959.91744698797,3,353.081102966415,19.4215211424809,-277.762839913922,43.6053053746058,500,10000,115,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,228.542667404711,29.4046340196071,-83.96519667828,22.7367228694945,-1887.63,-60,-1797.40303473881,3,413.442082267185,43.3985952922238,-270.213497321505,33.714990198147,500,10000,160,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,284.360972810458,23.1678997977191,-75.6551297988108,25.0175356732248,-1887.63,-60,-1822.62819152561,3,457.10477678817,35.4731907111629,291.906889305683,25.1330018512222,500,10000,224,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,316.836269391385,5.29767454988539,-9.2906635055163,17.3239522300533,-1887.63,-60,-1774.96876667124,3,508.026222447668,20.1072274952532,350.771586583453,18.546195323147,500,10000,314,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,300.289074261033,9.32592932563673,-33.2116759395388,8.96268661762191,-1887.63,-60,-1965.06990231359,3,467.730773473995,9.50513056305524,337.204022110684,17.6483610621588,500,10000,439,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,275.529315519216,17.6172495528948,-81.3238392546952,31.4104611145471,-1887.63,-60,-1932.22344258401,3,459.211733730402,33.1759876133067,301.527680989062,34.9424959742641,500,10000,614,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,293.563502842232,16.1091704665954,-46.1971729290278,10.9031073297016,-1887.63,-60,-2035.05627795676,3,459.227210771564,40.4254081990153,326.33891041116,6.32218673716585,500,10000,858,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,1,SpotsMultiSize_WC_exc,3,143,1,2023,Left,279.431733834154,8.33592223821449,-55.886791105202,12.1154064290907,-1887.63,-60,-1912.68747752057,3,453.273857097864,22.8111009565325,311.261608414301,13.4653841816384,500,10000,1200,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,19.2447836336735,10.8364319728467,-12.0024885830494,9.36999315621879,855.909,20,911.150517463356,3,223.716059571994,122.313969217543,199.886429903473,141.586202472436,500,10000,30,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,18.9048823822842,26.6932791999765,-10.3407735124986,6.27780105068213,855.909,20,698.937996719382,2,109.453221074899,122.66720382433,56.9636362141864,56.6330656901658,500,10000,42,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,59.1705608865031,26.4113959101656,-9.84065098301429,6.95080285692362,855.909,20,761.302943583545,3,195.21579695791,79.7809943860559,86.8017252193359,30.5958609936398,500,10000,59,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,122.153166480263,84.7442755803344,-13.3896111928942,13.2539640858995,855.909,20,807.888780442066,3,349.391909007122,264.155713063742,199.75910139133,131.792721839529,500,10000,82,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,167.026046546518,88.6034961503844,-13.8786574808646,19.6160432387098,855.909,20,751.42759938275,3,332.701291542921,170.766546550441,207.112737797628,113.799919562032,500,10000,115,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,382.239817864243,285.539211607406,40.8803285250421,13.4674387025132,855.909,20,919.201066179211,2,711.603649015125,566.231852562616,494.883017017128,409.116368780645,500,10000,160,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,479.7604680915,409.256183882553,46.3001115311396,29.4079360035991,855.909,20,991.978035497451,2,948.65108538667,876.448384480911,589.919019075306,474.779241703612,500,10000,224,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,390.647609759461,367.188829992452,4.00659145189842,1.92693056258007,855.909,20,975.554918585742,2,786.595950810551,800.546240725917,435.27032109631,384.759367960403,500,10000,314,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,164.745344555592,87.5418124139654,-7.25779896334236,2.84903939963472,855.909,20,749.924832211705,3,313.205272642107,197.003157162437,192.983755282469,97.4129945382511,500,10000,439,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,242.311281050404,184.267630808841,-2.65769429278313,6.22713621285486,855.909,20,849.322290957779,3,513.565036399777,428.91764815944,299.52793392701,228.716730488633,500,10000,614,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,273.688548349226,205.742052729541,13.5390635614041,19.6185085300799,855.909,20,875.084052114155,3,540.389405069687,432.759050137406,330.431250968576,241.460842232605,500,10000,858,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
072622A,2,SpotsMultiSize_WC_inh,3,143,1,2023,Left,259.234862620196,232.612317059994,-22.905170527008,17.6302979095146,855.909,20,896.981555950869,2,520.478808853253,474.223760819732,357.535774474589,334.869088896474,500,10000,1200,1000,1000,072622Ac1,OFF sustained alpha,ventral down,1,-1158,-651,VT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,23.8060482306938,0.942893556371279,-23.7124268115639,11.8196913431791,-351.844,-60,-308.798187804407,3,-155.443710893135,31.5299784790981,-171.75952128529,17.6801964387088,500,10000,30,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,54.4874918614586,3.41246015596452,-21.113030955355,3.06007059867067,-351.844,-60,-363.756692942082,3,162.655946090629,1.78679530675561,-194.359677089154,9.1063839795443,500,10000,42,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
081222A,3,SpotsMultiSize_WC_exc,22,195,1,2038,Left,73.3213285733212,6.95314756885262,-44.7628386787616,8.53088557668713,-351.844,-60,-356.779538693576,3,168.213319511332,17.4061440105495,-246.659028542006,25.4632260151173,500,10000,59,1000,1000,081222Ac17,OFF sustained alpha,ventral down,17,-1296,670,DT
