inj_current,fr_per_current_mean,fr_per_current_sem,cell_type,cell_name,cell_unid,dataset_name,file_name,source_id
-245.0,0.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-200.0,0.0,0.0,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-191.0,0.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-164.0,0.0,0.0,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-136.0,0.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-127.0,0.0,0.0,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-91.0,0.0,0.0,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-82.0,0.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-55.0,0.0,0.0,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-27.0,0.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-18.0,0.0,0.0,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
18.0,0.8,0.8944271909999161,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
27.0,0.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
55.0,37.2,5.770615218501404,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
82.0,56.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
91.0,45.6,5.495452665613635,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
127.0,51.6,4.54972526643093,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
136.0,86.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
164.0,48.4,8.526429498916883,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
191.0,42.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
200.0,52.0,7.968688725254614,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
245.0,58.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
300.0,54.0,,F-mini-ON,011023Ac9,6955,MultiPulse,011023A,9
-200.0,0.0,0.0,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
-164.0,0.0,0.0,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
-127.0,0.0,0.0,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
-91.0,0.0,0.0,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
-55.0,0.0,0.0,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
-18.0,0.0,0.0,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
18.0,5.2,3.9749213828703582,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
55.0,30.8,10.526157893552615,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
91.0,55.6,14.20211251891774,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
127.0,86.4,5.93295878967653,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
164.0,106.0,4.47213595499958,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
200.0,104.4,6.97853852894716,ON transient small RF,011023Bc5,6957,MultiPulse,011023B,2
-200.0,0.0,0.0,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
-164.0,0.0,0.0,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
-127.0,0.0,0.0,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
-91.0,0.0,0.0,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
-55.0,0.0,0.0,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
-18.0,0.0,0.0,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
18.0,0.8,0.5477225575051662,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
55.0,8.4,0.8366600265340756,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
91.0,13.6,2.0493901531919194,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
127.0,22.8,1.51657508881031,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
164.0,20.0,2.23606797749979,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
200.0,25.2,2.4083189157584592,F-mini-ON,011323Ac11,6910,MultiPulse,011323A,2
-200.0,0.0,0.0,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
-164.0,0.0,0.0,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
-127.0,0.0,0.0,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
-91.0,0.0,0.0,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
-55.0,0.0,0.0,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
-18.0,0.0,0.0,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
18.0,2.0,2.23606797749979,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
55.0,11.2,2.3021728866442674,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
91.0,25.2,1.816590212458495,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
127.0,33.6,1.4832396974191326,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
164.0,37.6,2.588435821108957,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
200.0,35.2,1.140175425099138,F-mini-ON,011323Ac13,6911,MultiPulse,011323A,3
-200.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-164.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-127.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-91.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-55.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
-18.0,0.0,0.0,HD2,011323Ac8,6912,MultiPulse,011323A,4
