spot_size,on_spikes,off_spikes,cell_type,cell_id,dataset_name,cell_new_id
30,4.6,5.2,EW1no,"011019Ac2",SpotsMultiSize_blue,11
42,3.8,8.4,EW1no,"011019Ac2",SpotsMultiSize_blue,11
59,7.2,11.4,EW1no,"011019Ac2",SpotsMultiSize_blue,11
82,2.4,10.8,EW1no,"011019Ac2",SpotsMultiSize_blue,11
115,0.666666666666667,16.5,EW1no,"011019Ac2",SpotsMultiSize_blue,11
160,0.333333333333333,18.3333333333333,EW1no,"011019Ac2",SpotsMultiSize_blue,11
224,0,18.4,EW1no,"011019Ac2",SpotsMultiSize_blue,11
314,0.2,17.6,EW1no,"011019Ac2",SpotsMultiSize_blue,11
439,0,12.8,EW1no,"011019Ac2",SpotsMultiSize_blue,11
614,0,16,EW1no,"011019Ac2",SpotsMultiSize_blue,11
858,0,18,EW1no,"011019Ac2",SpotsMultiSize_blue,11
1200,0,16.4,EW1no,"011019Ac2",SpotsMultiSize_blue,11
30,5,9,EW1no,"011019Ac2",SpotsMultiSize_green,12
42,0,0,EW1no,"011019Ac2",SpotsMultiSize_green,12
59,6.5,4.5,EW1no,"011019Ac2",SpotsMultiSize_green,12
82,1,8.5,EW1no,"011019Ac2",SpotsMultiSize_green,12
115,2,0,EW1no,"011019Ac2",SpotsMultiSize_green,12
160,1,12,EW1no,"011019Ac2",SpotsMultiSize_green,12
224,0,10,EW1no,"011019Ac2",SpotsMultiSize_green,12
314,0,12.5,EW1no,"011019Ac2",SpotsMultiSize_green,12
439,1,35,EW1no,"011019Ac2",SpotsMultiSize_green,12
614,0,26,EW1no,"011019Ac2",SpotsMultiSize_green,12
858,3,0,EW1no,"011019Ac2",SpotsMultiSize_green,12
1200,1,1,EW1no,"011019Ac2",SpotsMultiSize_green,12
30,0,4,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
42,0,5.5,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
59,2,25,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
82,0.333333333333333,13,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
115,2,13,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
160,0,11.5,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
224,0,16,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
314,0,15.5,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
439,0,9,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
614,0,8,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
858,1.5,16.5,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
1200,2.5,8,EW1no,"011019Ac2",SpotsMultiSize_green+uv,13
30,3,9,EW1no,"011019Ac2",SpotsMultiSize_uv,14
42,1,10.5,EW1no,"011019Ac2",SpotsMultiSize_uv,14
59,1,20,EW1no,"011019Ac2",SpotsMultiSize_uv,14
82,3,15,EW1no,"011019Ac2",SpotsMultiSize_uv,14
115,1,25,EW1no,"011019Ac2",SpotsMultiSize_uv,14
160,1.5,20,EW1no,"011019Ac2",SpotsMultiSize_uv,14
224,0.5,15.5,EW1no,"011019Ac2",SpotsMultiSize_uv,14
314,0,20,EW1no,"011019Ac2",SpotsMultiSize_uv,14
439,0,16,EW1no,"011019Ac2",SpotsMultiSize_uv,14
614,0,24,EW1no,"011019Ac2",SpotsMultiSize_uv,14
858,0,20.5,EW1no,"011019Ac2",SpotsMultiSize_uv,14
1200,0.5,19,EW1no,"011019Ac2",SpotsMultiSize_uv,14
30,0,0,EW1no,"011019Ac22",SpotsMultiSize,15
42,0.333333333333333,0.333333333333333,EW1no,"011019Ac22",SpotsMultiSize,15
59,0,0.666666666666667,EW1no,"011019Ac22",SpotsMultiSize,15
82,0,6,EW1no,"011019Ac22",SpotsMultiSize,15
115,0,15.6666666666667,EW1no,"011019Ac22",SpotsMultiSize,15
160,0,19,EW1no,"011019Ac22",SpotsMultiSize,15
224,0.333333333333333,19.3333333333333,EW1no,"011019Ac22",SpotsMultiSize,15
314,0,15.6666666666667,EW1no,"011019Ac22",SpotsMultiSize,15
439,0,16,EW1no,"011019Ac22",SpotsMultiSize,15
614,0,24,EW1no,"011019Ac22",SpotsMultiSize,15
858,0,26.3333333333333,EW1no,"011019Ac22",SpotsMultiSize,15
1200,0,25.3333333333333,EW1no,"011019Ac22",SpotsMultiSize,15
30,6.5,13.5,EW1no,"012120Ac11",SpotsMultiSize,16
42,10.5,16,EW1no,"012120Ac11",SpotsMultiSize,16
59,7.5,23,EW1no,"012120Ac11",SpotsMultiSize,16
82,1.5,29,EW1no,"012120Ac11",SpotsMultiSize,16
115,1,24,EW1no,"012120Ac11",SpotsMultiSize,16
160,1,30.5,EW1no,"012120Ac11",SpotsMultiSize,16
224,0.333333333333333,36.3333333333333,EW1no,"012120Ac11",SpotsMultiSize,16
314,0.5,37.5,EW1no,"012120Ac11",SpotsMultiSize,16
439,0.5,37.5,EW1no,"012120Ac11",SpotsMultiSize,16
614,1,41.5,EW1no,"012120Ac11",SpotsMultiSize,16
858,0,43,EW1no,"012120Ac11",SpotsMultiSize,16
1200,0.333333333333333,42.3333333333333,EW1no,"012120Ac11",SpotsMultiSize,16
30,17.5,17,EW1no,"012820Ac6",SpotsMultiSize,17
42,16,19.75,EW1no,"012820Ac6",SpotsMultiSize,17
59,18.75,27.25,EW1no,"012820Ac6",SpotsMultiSize,17
82,16,31.75,EW1no,"012820Ac6",SpotsMultiSize,17
115,16.5,44,EW1no,"012820Ac6",SpotsMultiSize,17
160,14.25,55.75,EW1no,"012820Ac6",SpotsMultiSize,17
224,8,48.5,EW1no,"012820Ac6",SpotsMultiSize,17
314,2.5,44.75,EW1no,"012820Ac6",SpotsMultiSize,17
439,2.25,39.75,EW1no,"012820Ac6",SpotsMultiSize,17
